LCNS_NO,BSSH_NM,CHNG_DT,CHNG_PRVNS,INDUTY_CD_NM,SITE_ADDR,CHNG_BF_CN,CHNG_AF_CN,TELNO,DB_EXISTS,DB_LAST_EVENT_DATE,IS_MISSED,MISSED_REASON
20070202799,(갓쌩푸드)부평닭강정,20101111,변경민원,일반음식점,"인천광역시 부평구 경원대로 1362(부평동,지예타워 101호)",박**,김**,0325055252,Y,20240909,N,NONE
20070202799,(갓쌩푸드)부평닭강정,20080414,변경민원,일반음식점,"인천광역시 부평구 경원대로 1362(부평동,지예타워 101호)",박**,박**,0325055252,Y,20240909,N,NONE
20220378755,(제이)J영커머스,20240904,초기자료등록,일반음식점,"경기도 성남시 분당구 정자일로 220(1층 115호 정자동, 동양정자파라곤)",(제이)J영커머스,케이에프앤비(KFNB),,Y,20241021,N,NONE
20220378755,(제이)J영커머스,20240904,변경민원,일반음식점,"경기도 성남시 분당구 정자일로 220(1층 115호 정자동, 동양정자파라곤)",지**,유**,,Y,20241021,N,NONE
19890029356,(주)도치피자 광화문,20240902,변경민원,일반음식점,서울특별시 중구 세종대로21길 67-2(정동),동영관,도치피자 광화문,027394256,Y,20250822,N,NONE
19890029356,(주)도치피자 광화문,20240902,변경민원,일반음식점,서울특별시 중구 세종대로21길 67-2(정동),박**,이**,027394256,Y,20250822,N,NONE
19890029356,(주)도치피자 광화문,20030115,변경민원,일반음식점,서울특별시 중구 세종대로21길 67-2(정동),권**,박**,027394256,Y,20250822,N,NONE
20210056537,(주) 에이텍푸드,20240830,변경민원,일반음식점,서울특별시 도봉구 마들로 542(2층 창동),88흑염소,(주) 에이텍푸드,,Y,20250515,N,NONE
20210056537,(주) 에이텍푸드,20240830,변경민원,일반음식점,서울특별시 도봉구 마들로 542(2층 창동),전**,이**,,Y,20250515,N,NONE
20140336121,(백년)미국가주우육면대왕,20240820,변경민원,일반음식점,경기도 오산시 오산로 265-2(1층 오산동),한**,L*************,0313775754,Y,20240820,N,NONE
20140336121,(백년)미국가주우육면대왕,20240103,변경민원,일반음식점,경기도 오산시 오산로 265-2(1층 오산동),H***************,한**,0313775754,Y,20240820,N,NONE
20230523231,(주)동원,20240808,변경민원,일반음식점,경기도 광주시 곤지암읍 경충대로 35(1층),조**,정**,,Y,20240808,N,NONE
20230523231,(주)동원,20240117,변경민원,일반음식점,경기도 광주시 곤지암읍 경충대로 35(1층),최**,조**,,Y,20240808,N,NONE
20140376045,(주) 임어전씨 수제버거 전곡역지점,20240807,변경민원,일반음식점,경기도 연천군 전곡읍 온골로 50-1,톡톡탕후루,임어전씨 수제버거 전곡점,0318322070,Y,20240925,N,NONE
20140376045,(주) 임어전씨 수제버거 전곡역지점,20240807,변경민원,일반음식점,경기도 연천군 전곡읍 온골로 50-1,김**,박**,0318322070,Y,20240925,N,NONE
20140376045,(주) 임어전씨 수제버거 전곡역지점,20231016,변경민원,일반음식점,경기도 연천군 전곡읍 온골로 50-1,박**,김**,0318322070,Y,20240925,N,NONE
